Date,Seller,OrderNum,Total,EmailId
"Sat, 2 Sep 2023 04:38:57 -0700 (PDT)",Instagram <no-reply@shopping.instagram.com>,#2994938,-1,18a55b060939a1e9
"Sat, 2 Sep 2023 03:12:31 -0700 (PDT)",Instagram <no-reply@shopping.instagram.com>,#2994938,12.95,18a5561419e94eac
"Thu, 31 Aug 2023 14:13:18 -0700 (PDT)",Panda Express <noreply@pandaexpress.com>,20824469963538434CUSTOMER,-1,18a4d717e522fa05
"Sun, 6 Aug 2023 14:51:29 -0700 (PDT)","""Recreation.gov"" <communications@recreation.gov>",BE,18.00,189ccd578bd0ba12
"Sun, 6 Aug 2023 09:31:09 -0700 (PDT)","""Recreation.gov"" <communications@recreation.gov>",BE,6.00,189cbb033680d7d8
"Fri, 28 Jul 2023 18:09:27 -0700 (PDT)",Panda Express <noreply@pandaexpress.com>,20039717138415618CUSTOMER,-1,1899f317bfcadd5c
"Sat, 22 Jul 2023 13:36:11 -0700 (PDT)","""McDonald's Account Services"" <DoNotReply_US@mcdonalds.com>",1698,4.14,1897f51239656324
"Sun, 16 Jul 2023 16:10:47 -0700 (PDT)",Panda Express <noreply@pandaexpress.com>,19759492526342145CUSTOMER,-1,18960f8871fd3d64
"Sat, 15 Jul 2023 16:30:18 -0700 (PDT)","""McDonald's Account Services"" <DoNotReply_US@mcdonalds.com>",1620,1.41,1895be40693cc194
"Fri, 14 Jul 2023 22:30:14 -0700 (PDT)","""Dave's Hot Chicken Online Ordering"" <noreply@olo.com>",19719217006673920,-1,1895807323c4bed9
"Mon, 10 Jul 2023 19:11:17 -0700 (PDT)",Panda Express <noreply@pandaexpress.com>,19623241395322882CUSTOMER,-1,18942b79f215d5bf
"Sat, 3 Jun 2023 11:40:45 -0700 (PDT)","""McDonald's Account Services"" <DoNotReply_US@mcdonalds.com>",1697,7.97,188828fd96e975d1
"Thu, 25 May 2023 15:41:29 -0700 (PDT)",Panda Express <noreply@pandaexpress.com>,18552993500086283CUSTOMER,-1,188551305e6cca97
"Wed, 10 May 2023 20:25:31 -0700 (PDT)",Panda Express <noreply@pandaexpress.com>,18209675814043648CUSTOMER,-1,18808d7aaeb8ad73
"Mon, 17 Apr 2023 16:19:03 -0700 (PDT)",eBay <ebay@ebay.com>,01-09922-49839,89.15,1879183c0051c298
"Wed, 12 Apr 2023 12:46:43 -0700 (PDT)","""Amazon.com"" <order-update@amazon.com>",113-9050092-7045052,-1,18777018d01f4bc9
"Mon, 10 Apr 2023 20:17:19 -0700 (PDT)",Eneba <customers@eneba.com>,O-YKJJNEE,5.86,1876e515eac7226f
